EventClass,EVENT,TIME,COMPETITION,COUNTRY,DATE,YEAR
S14,Men 200m Freestyle,01:59.70,2021ジャパンパラ水泳競技大,JPN,2021-05-21,2021
S14,Men 200m Freestyle,01:59.95,2021ジャパンパラ水泳競技大,JPN,2021-05-21,2021
S14,Men 100m Freestyle,00:56.23,第37回日本パラ水泳選手権大会,JPN,2021-03-06,2021
S14,Men 200m Freestyle,02:02.13,第37回日本パラ水泳選手権大会,JPN,2021-03-07,2021
S14,Men 100m Butterfly,01:00.51,第37回日本パラ水泳選手権大会,JPN,2021-03-07,2021
S14,Men 200m Freestyle,02:02.06,パラ水泳秋季記録会,JPN,2020-11-08,2020
S14,Men 100m Butterfly,00:59.65,パラ水泳秋季記録会,JPN,2020-11-08,2020
S14,Men 200m Freestyle,02:02.06,第3回日本知的障害者選手権新春水泳競技大会,JPN,2020-01-13,2020
S14,Men 100m Freestyle,00:56.32,第3回日本知的障害者選手権新春水泳競技大会,JPN,2020-01-13,2020
S14,Men 100m Butterfly,01:00.63,第2回日本知的障害者選手権新春水泳競技大会,JPN,2019-01-14,2019
S14,Men 400m Freestyle,04:25.76,第2回日本知的障害者選手権新春水泳競技大会,JPN,2019-01-14,2019
S14,Men 100m Butterfly,00:59.66,2019パラ水泳春季記録会,JPN,2019-03-03,2019
S14,Men 200m Freestyle,02:00.95,2019パラ水泳春季記録会,JPN,2019-03-03,2019
Multi Class?,Men 100m Breaststroke,1：21.17,パラ水泳ワールドシリーズ シンガポール大会,SGP,2019-05-10,2019
Multi Class?,Men 200m Freestyle,02:01.50,パラ水泳ワールドシリーズ シンガポール大会,SGP,2019-05-11,2019
Multi Class?,Men 200m Freestyle,01:59.94,パラ水泳ワールドシリーズ シンガポール大会,SGP,2019-05-11,2019
S14,Men 50m Butterfly,00:27.43,第22回 日本知的障害者選手権水泳競技大会,JPN,2019-06-09,2019
S14,Men 200m Freestyle,01:59.92,第22回 日本知的障害者選手権水泳競技大会,JPN,2019-06-09,2019
S14,Men 200m Butterfly,02:13.92,第22回 日本知的障害者選手権水泳競技大会,JPN,2019-06-09,2019
S14,Men 400m Freestyle,4:25.56,第26回中部障がい者水泳選手権大会,JPN,2019-07-07?,2019
S14,Men 100m Butterfly,1:01.28,第26回中部障がい者水泳選手権大会,JPN,2019-07-07?,2019
S14,Men 50m Freestyle,00:26.88,第26回中部障がい者水泳選手権大会,JPN,2019-07-07?,2019
S14,Men 200m Freestyle,02:00.95　,2019ジャパンパラ水泳競技大会,JPN,2019-09-21,2019
S14,Men 200m Freestyle,01:59.59　,2019ジャパンパラ水泳競技大会,JPN,2019-09-21,2019
S14,Men 100m Butterfly,00:59.73,2019ジャパンパラ水泳競技大会,JPN,2019-09-23,2019
S14,Men 100m Butterfly,00:59.81,2019ジャパンパラ水泳競技大会,JPN,2019-09-23,2019
II1,Men 200m Individual Medley,02:23.29,INAS Global Games BRISBANE 2019,AUS,2019-10-13,2019
II1,Men 200m Freestyle,02:02.65,INAS Global Games BRISBANE 2019,AUS,2019-10-15,2019
II1,Men 100m Butterfly,01:00.68,INAS Global Games BRISBANE 2019,AUS,2019-10-16,2019
II1,Men 200m Butterfly,02:15.78,INAS Global Games BRISBANE 2019,AUS,2019-10-17,2019
II1,Men 200m Individual Medley,02:22.37  ,INAS Global Games BRISBANE 2019,AUS,2019-10-13,2019
II1,Men 200m Freestyle,02:00.52,INAS Global Games BRISBANE 2019,AUS,2019-10-15,2019
II1,Men 100m Butterfly,01:01.18,INAS Global Games BRISBANE 2019,AUS,2019-10-16,2019
II1,Men 200m Butterfly,02:14.85,INAS Global Games BRISBANE 2019,AUS,2019-10-17,2019
S14,Men 100m Butterfly,01:00.08,第36回日本パラ水泳選手権大会,JPN,2019-11-24,2019
S14,Men 200m Freestyle,02:01.31,第36回日本パラ水泳選手権大会,JPN,2019-11-24,2019
