EventClass,EVENT,TIME,COMPETITION,COUNTRY,DATE,YEAR
Men 100m Butterfly,01:00.37,2021-05-23
Men 100m Butterfly,01:00.08,2021-05-23
Men 100m Freestyle,00:57.31,2021-05-22
Men 200m Freestyle,01:59.70,2021-05-21
Men 200m Freestyle,01:59.95,2021-05-21
100m Freestyle,00:56.23,2021-03-06
200m Freestyle,02:02.13,2021-03-07
100m Butterfly,01:00.51,2021-03-07
200m Freestyle,02:02.06,2020-11-08
100m Butterfly,00:59.65,2020-11-08
200m Freestyle,02:02.06,2020-01-13
100m Freestyle,00:56.32,2020-01-13
100m Butterfly,01:00.63,2019-01-14
400m Freestyle,04:25.76,2019-01-14
100m Butterfly,00:59.66,2019-03-03
200m Freestyle,02:00.95,2019-03-03
Multi Class,100m Breaststroke,2019-05-10
Multi Class,200m Freestyle,02:01.50,2019-05-11
Multi Class,200m Freestyle,01:59.94,2019-05-11
 50m Butterfly,00:27.43,2019-06-09
 200m Freestyle,01:59.92,2019-06-09
 200m Butterfly,02:13.92,2019-06-09
 400m Freestyle,4:25.56,2019-07-07
 100m Butterfly,1:01.28,2019-07-07
 50m Freestyle,00:26.88,2019-07-07
 200m Freestyle,02:00.95,JPN,2019-09-21
 200m Freestyle,01:59.59,JPN,2019-09-21
 100m Butterfly,00:59.73,JPN,2019-09-23
 100m Butterfly,00:59.81,JPN,2019-09-23
 200m Individual Medley,02:23.29,AUS,2019-10-13
 200m Freestyle,02:02.65,AUS,2019-10-15
 100m Butterfly,01:00.68,AUS,2019-10-16
 200m Butterfly,02:15.78,AUS,2019-10-17
 200m Individual Medley,02:22.37,2019-10-13
 200m Freestyle,02:00.52,2019-10-15
 100m Butterfly,01:01.18,2019-10-16
 200m Butterfly,02:14.85,2019-10-17
 100m Butterfly,01:00.08,2019-11-24
 200m Freestyle,02:01.31,2019-11-24
